Filial;Hist;Nome Filial;Endereço;Bairro;Cidade;UF;Logomarca;Telefone;IP Banco 12
6;6;PAULISTA;AVENIDA PAULISTA, 807 , CEP - 01311100;BELA VISTA;SAO PAULO;SP;RAIA;(11) 31710248          ;10.140.6.12
7;7;SAO CARLOS - A;AV SAO CARLOS, 1325 , CEP - 13560010;CENTRO;SAO CARLOS;SP;RAIA;(16) 37977710          ;10.140.7.12
8;8;ARARAQUARA - A;R NOVE DE JULHO, 868 , CEP - 14801295;CENTRO;ARARAQUARA;SP;RAIA;(16) 33365293          ;10.140.8.12
9;9;FREGUESIA DO O;RUA BONIFACIO CUBAS, 18 , CEP - 02731000;VILA ALBERTINA;SAO PAULO;SP;RAIA;(11) 39363499          ;10.140.9.12
13;13;PRAIA GRANDE;AVENIDA PRESIDENTE COSTA E SILVA, 325 , CEP - 11701000;BOQUEIRAO;PRAIA GRANDE;SP;RAIA;(13) 34913727          ;10.140.13.12
15;15;RIO CLARO - A;RUA TRES, 1172 , CEP - 13500160;CENTRO;RIO CLARO;SP;RAIA;(19) 35346664          ;10.140.15.12
16;16;ITU - A;R FLORIANO PEIXOTO, 923 , CEP - 13300055;CENTRO;ITU;SP;RAIA;(11) 40231025          ;10.140.16.12
17;17;SAO VICENTE - A;R FREI GASPAR, 686 , CEP - 11310061;VILA AMORIM;SAO VICENTE;SP;RAIA;(13) 34683083          ;10.140.17.12
18;18;VICENTE DE CARVALHO;AVENIDA THIAGO FERREIRA, 787 , CEP - 11450001;VILA ALICE;GUARUJA;SP;RAIA;(13) 33522122          ;10.140.18.12
19;19;BROOKLIN - A;RUA JOAQUIM NABUCO, 84 , CEP - 04621001;BROOKLIN;SAO PAULO;SP;RAIA;(11) 50440584          ;10.140.19.12
20;20;PENHA;AVENIDA PENHA DE FRANCA, 429 , CEP - 03606010;PENHA;SAO PAULO;SP;RAIA;(11) 26477749          ;10.140.20.12
21;21;PINHEIROS;R TEODORO SAMPAIO, 2324 , CEP - 05406150;PINHEIROS;SAO PAULO;SP;RAIA;(11) 38136003          ;10.140.21.12
23;23;SUMARE;RUA HEITOR PENTEADO, 1776 , CEP - 05438300;SUMARE;SAO PAULO;SP;RAIA;(11) 36728279          ;10.140.23.12
24;24;ALTO DA LAPA;RUA CERRO CORA, 1917 , CEP - 05061350;ALTO DA LAPA;SAO PAULO;SP;RAIA;(11) 30216088          ;10.140.24.12
25;25;ALTO DE PINHEIROS;PRACA PANAMERICANA, 57 , CEP - 05461000;ALTO DE PINHEIROS;SAO PAULO;SP;RAIA;(11) 30342084          ;10.140.25.12
26;26;SAO JOSE DO RIO PRETO - A;R SILVA JARDIM, 2972 , CEP - 15010060;CENTRO;SAO JOSE DO RIO PRETO;SP;RAIA;(17) 32352543          ;10.140.26.12
27;27;RIBEIRAO PRETO - A;AVENIDA NOVE DE JULHO, 1177 , CEP - 14015170;CENTRO;RIBEIRAO PRETO;SP;RAIA;(16) 36369134          ;10.140.27.12
29;29;ITAIM - A;RUA JOAO CACHOEIRA, 732 , CEP - 04535002;ITAIM;SAO PAULO;SP;RAIA;(11) 30711504          ;10.140.29.12
30;30;VILA OLIMPIA - A;RUA CLODOMIRO AMAZONAS, 1009 , CEP - 04537012;VILA OLIMPIA;SAO PAULO;SP;RAIA;(11) 30452990          ;10.140.30.12
31;31;LIMEIRA - A;R DOUTOR TRAJANO BARROS CAMARGO, 815 , CEP - 13480041;CENTRO;LIMEIRA;SP;RAIA;(19) 34411416          ;10.140.31.12
32;32;CAMPINAS - A;AV CAMPOS SALES, 874 , CEP - 13010081;CENTRO;CAMPINAS;SP;RAIA;(19) 32322384          ;10.140.32.12
34;34;TIJUCA - A;R HADDOCK LOBO, 382A , CEP - 20260142;TIJUCA;RIO DE JANEIRO;RJ;RAIA; ;192.1.34.12
35;35;MARILIA - A;AV SAMPAIO VIDAL, 636 , CEP - 17500021;CENTRO;MARILIA;SP;RAIA;(14) 34133535          ;10.140.35.12
36;36;GUARUJA - A;R MARIO RIBEIRO, 756 , CEP - 11410190;CENTRO;GUARUJA;SP;RAIA;(13) 33862549          ;10.140.36.12
37;37;CUBATAO;AVENIDA NOVE DE ABRIL, 2193 , CEP - 11510000;JARDIM AMERICA;CUBATAO;SP;RAIA;(13) 3361-3394         ;10.140.37.12
40;40;FRANCA - A;R MAJOR CLAUDIANO, 1760 , CEP - 14400690;CENTRO;FRANCA;SP;RAIA;(16) 37223432          ;10.140.40.12
42;42;VILA NOVA - A;R AFONSO BRAS, 610 , CEP - 04511001;VILA NOVA CONCEICAO;SAO PAULO;SP;RAIA;(11) 38425936          ;10.140.42.12
43;43;SAO LUIZ;AV SAO LUIZ, 35 , CEP - 01046001;CONSOLACAO;SAO PAULO;SP;RAIA;(11) 32591531          ;10.140.43.12
